"Intent","Strategy","Method","Time Created","Sources","Labels","Destinations","Sensors","Priority"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 04:10AM UTC","24.119.14.82"," ","172.31.4.86","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 04:00AM UTC","216.157.85.72"," ","192.168.56.101","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 03:50AM UTC","10.0.2.15"," ","46.101.30.120","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Ransomware","Fri, Sep 29 2017 03:50AM UTC","10.0.2.15"," ","46.101.30.120","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 03:40AM UTC","192.168.56.102"," ","92.222.125.25","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Potentially Unwanted Program","Fri, Sep 29 2017 03:40AM UTC","192.168.56.102"," ","92.222.125.25","b505ca76-08cf-46b9-8108-c26b94b3fa80","low"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 03:40AM UTC","10.0.2.15"," ","5.206.225.17","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 03:30AM UTC","10.1.11.101"," ","37.59.39.53","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Ransomware","Fri, Sep 29 2017 03:30AM UTC","10.1.11.101"," ","37.59.39.53","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 03:30AM UTC","109.234.38.150"," ","10.1.11.101","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 03:20AM UTC","192.168.1.20"," ","8.8.8.8","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Downloader","Fri, Sep 29 2017 03:00AM UTC","104.199.9.203"," ","10.3.14.104","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 02:40AM UTC","24.119.14.82"," ","172.31.4.86","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 02:20AM UTC","92.207.100.244"," ","192.168.1.156","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 02:10AM UTC","217.121.72.162"," ","192.168.56.11","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
