Synopsis,CVE,Risk,Host,Solution,Plugin Output
The remote Windows host is affected by multiple vulnerabilities.,CVE-2017-0170,Critical,10.10.10.123,Apply security update KB4025336.,"

  The registry key ""SYSTEM\CurrentControlSet\Services\NTDS\Parameters\LdapEnforceChannelBinding""
  is missing or is not equal to ""1"" or ""2""

"
"The remote Windows host is affected by a remote code execution
vulnerability.",CVE-2015-0008,High,10.10.10.123,"Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 8, 2012, 8.1, and 2012 R2.","

  KB 3000483 or a related, subsequent update was successfully 
  installed, but the GPO setting ""Hardened UNC Paths"" has not 
  been enabled.

"
"The remote host has a web browser installed that is affected by
multiple vulnerabilities.",CVE-2015-6083,High,10.10.10.123,"Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 8, RT, 2012, 8.1, RT 8.1, 2012 R2, and 10.","
ASLR hardening settings for Internet Explorer in KB3125869
have not been applied. The following DWORD keys must be
created with a value of 1:
  - HKLM\SOFTWARE\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_ALLOW_USER32_EXCEPTION_HANDLER_HARDENING\iexplore.exe
  - HKLM\SOFTWARE\Wow6432Node\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_ALLOW_USER32_EXCEPTION_HANDLER_HARDENING\iexplore.exe

"
User credentials are stored in memory.,0,Low,10.10.10.123,Use regedt32 and set the value of this registry key to 0.,"
  Max cached logons : 10
"
"The remote host allows SSL/TLS connections with one or more
Diffie-Hellman moduli less than or equal to 1024 bits.",CVE-2015-4000,Low,10.10.10.123,"Reconfigure the service to use a unique Diffie-Hellman moduli of 2048
bits or greater.","
Vulnerable connection combinations :

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.1
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_128_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)

  SSL/TLS version  : TLSv1.0
  Cipher suite     : TLS1_CK_DHE_RSA_WITH_AES_256_CBC_SHA
  Diffie-Hellman MODP size (bits) : 1024
    Warning - This is a known static Oakley Group2 modulus. This may make
    the remote host more vulnerable to the Logjam attack.
  Logjam attack difficulty : Hard (would require nation-state resources)
"
The remote service supports the use of the RC4 cipher.,CVE-2013-2566,Low,10.10.10.123,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
    RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.",0,Medium,10.10.10.123,Purchase or generate a proper certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=QAILDC01.nayaxvend.int
"
The SSL certificate for this service cannot be trusted.,0,Medium,10.10.10.123,Purchase or generate a proper certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=QAILDC01.nayaxvend.int
|-Issuer  : CN=QAILDC01.nayaxvend.int
"
The remote DNS server is vulnerable to cache snooping attacks.,0,Medium,10.10.10.123,Contact the vendor of the DNS software for a fix.,"
Nessus sent a non-recursive query for example.com
and received 1 answer :

93.184.216.34
"
The remote service supports the use of 64-bit block ciphers.,CVE-2016-2183,Medium,10.10.10.123,"Reconfigure the affected application, if possible, to avoid use of all
64-bit block ciphers. Alternatively, place limitations on the number
of requests that are allowed to be processed over the same TLS
connection to mitigate this vulnerability.","
List of 64-bit block cipher suites supported by the remote server :

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
