Scan Results,09/26/2017 at 11:58:26 (GMT+0300),,,,,,,,,,,,,,,,,,,,,,,
Nayax LTD,Roul Walenberg 18 st,,Tel-Aviv,None,Israel,11111,,,,,,,,,,,,,,,,,,
Gal Bayer,nayax-gb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Launch Date,Active Hosts,Total Hosts,Type,Status,Reference,Scanner Appliance,Duration,Scan Title,Asset Groups,IPs,Excluded IPs,Option Profile,,,,,,,,,,,,
09/26/2017 at 11:12:35 (GMT+0300),3,5,On-demand (default option profile),Finished,scan/1506413555.41771,"Corporate (Scanner 9.6.19-1, Vulnerability Signatures 2.4.148-2)",00:18:27,2nd Scan,Initate,10.0.0.178-10.0.0.182,,Initiate scan,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IP,DNS,NetBIOS,OS,IP Status,QID,Title,Type,Severity,Port,Protocol,FQDN,SSL,CVE ID,Vendor Reference,Bugtraq ID,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Instance,Category
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90080,Administrator Account's Password Does Not Expire,Vuln,3,,,,,,,,The scanner probed the Security & Accounts Database (SAM) and found that the target Windows box's Administrator account has a password that does not expire.,"Depending on the site's policy, this may be considered a security vulnerability since it allows attackers an infinite duration to try bruteforcing (guessing over multiple login attempts) the password for the account.","Reconfigure the Administrator account's properties to expire the password after a specified duration per the site's policy. Ideally, domain-wide policies should be set on the Domain Controller so that all Windows hosts on the domain comply automatically, and each individual host does not need to be configured.
 
Note that the Administrator account on the Domain Controller(s) will always have a password that does not expire, since the option check box in the properties dialog box for this account is greyed out.  Additional details can be found under QID 45031 ""Accounts Enumerated From SAM Database Whose Passwords Do Not Expire.""",,,,yes,,Windows
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105228,Built-in Guest Account Not Renamed at Windows Target System,Vuln,3,,,,,,,,The built-in Guest account is not renamed at the target Microsoft Windows system.,Knowing a valid username allows for substantially easier bruteforcing attacks.,Rename the Guest account.,,,Guest,no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",38601,SSL/TLS use of weak RC4 cipher,Vuln,3,3389,tcp,,over ssl,"CVE-2013-2566, CVE-2015-2808",,"91787, 58796, 73684","Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS ) protocols provide integrity, confidentiality and authenticity services to other protocols that lack these features.
 
SSL/TLS protocols use ciphers such as AES,DES, 3DES and RC4 to encrypt the content of the higher layer protocols and thus provide the confidentiality service. Normally the output of an encryption process is a sequence of random looking bytes. It was known that RC4 output has some bias in the output. Recently a group of researchers has discovered that the there is a stronger bias in RC4, which make statistical analysis of ciphertext more practical.
 
The described attack is to inject a malicious javascript into the victim's browser that would ensure that there are multiple connections being established with a target website and the same HTTP cookie is sent multiple times to the website in encrypted form. This provides the attacker a large set of ciphertext samples, that can be used for statistical analysis.

 NOTE: On 3/12/15 NVD changed the CVSS v2 access complicity from high to medium. As a result Qualys revised the CVSS score to 4.3 immediately. On 5/4/15 Qualys is also revising the severity to level 3.","If this attack is carried out and an HTTP cookie is recovered, then the attacker can use the cookie to impersonate the user whose cookie was recovered.
 
This attack is not very practical as it requires the attacker to have access to millions of samples of ciphertext, but there are certain assumptions that an attacker can make to improve the chances of recovering the cleartext from cihpertext. For examples HTTP cookies are either base64 encoded or hex digits. This information can help the attacker in their efforts to recover the cookie.","RC4 should not be used where possible. One reason that RC4 was still being used was BEAST and Lucky13 attacks against CBC mode ciphers in SSL and TLS. However, TLSv 1.2 or later address these issues.",,,"CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
TLSv1 WITH RC4 CIPHERs IS SUPPORTED	 	 	 	 	 
RC4-SHA	RSA	RSA	SHA1	RC4(128)	MEDIUM
RC4-MD5	RSA	RSA	MD5	RC4(128)	MEDIUM
TLSv1.1 WITH RC4 CIPHERs IS SUPPORTED	 	 	 	 	 
RC4-SHA	RSA	RSA	SHA1	RC4(128)	MEDIUM
RC4-MD5	RSA	RSA	MD5	RC4(128)	MEDIUM
TLSv1.2 WITH RC4 CIPHERs IS SUPPORTED	 	 	 	 	 
RC4-SHA	RSA	RSA	SHA1	RC4(128)	MEDIUM
RC4-MD5	RSA	RSA	MD5	RC4(128)	MEDIUM",no,,General remote services
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",38628,SSL/TLS Server supports TLSv1.0,Vuln,3,3389,tcp,,over ssl,,,,"TLS is capable of using a multitude of ciphers (algorithms) to create the public and private key pairs. 
For example if TLSv1.0 uses either the RC4 stream cipher, or a block cipher in CBC mode. 
RC4 is known to have biases and the block cipher in CBC mode is vulnerable to the POODLE attack. 

TLSv1.0, if configured to use the same cipher suites as SSLv3, includes a means by which a TLS implementation can downgrade the connection to SSL v3.0, thus weakening security. 

A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade. 

  This QID will be marked as a Fail for PCI as of May 1st, 2017 in accordance with the new standards.  For existing implementations, Merchants will be able to submit a PCI False Positive / Exception Request and provide proof of their Risk Mitigation and Migration Plan, which will result in a pass for PCI up until June 30th, 2018.
 
 Further details can be found at: NEW PCI DSS v3.2 and Migrating from SSL and Early TLS v1.1 (https://community.qualys.com/message/34120)","An attacker can exploit cryptographic flaws to conduct man-in-the-middle type attacks or to decryption communications. 
For example: An attacker could force a downgrade from the TLS protocol to the older SSLv3.0 protocol and exploit the POODLE vulnerability, read secure communications or maliciously modify messages. 
A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade.","Disable the use of TLSv1.0 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1

If the test is successful, then the target support TLSv1",,,TLSv1.0 is supported,yes,,General remote services
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",38657,Birthday attacks against TLS ciphers with 64bit block size vulnerability (Sweet32),Vuln,3,3389,tcp,,over ssl,CVE-2016-2183,,"92630, 95568","Legacy block ciphers having block size of 64 bits are vulnerable to a practical collision attack when used in CBC mode. 
All versions of SSL/TLS protocol support cipher suites which use DES or 3DES as the symmetric encryption cipher are affected.",Remote attackers can obtain cleartext data via a birthday attack against a long-duration encrypted session.,"Disable and stop using DES and 3DES ciphers.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -cipher ""DES:3DES"" -ssl2
openssl s_client -connect ip:port -cipher ""DES:3DES"" -ssl3
openssl s_client -connect ip:port -cipher ""DES:3DES"" -tls1
openssl s_client -connect ip:port -cipher ""DES:3DES"" -tls1_1
openssl s_client -connect ip:port -cipher ""DES:3DES"" -tls1_2

If any of these tests is successful, then the target is vulnerable to Sweet32.",,,"CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
TLSv1 WITH DES/3DES CIPHERs IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.1 WITH DES/3DES CIPHERs IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.2 WITH DES/3DES CIPHERs IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM",no,,General remote services
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90882,Windows Remote Desktop Protocol Weak Encryption Method Allowed,Vuln,3,3389,tcp,,over ssl,,,,"Remote Desktop Protocol is a protocol by which Terminal Service provides desktop level access to a remote user.  It can be used to remotely log in and interact with a Windows machine. 
Since RDP transfers sensitive information about the user and the system, it can be configured to use encryption to provide privacy and integrity for its sessions. It is possible to configure RDP to use encryption algorithms that are considered insecure, such as RC4 40bit and RC4 56 bit.",If an attacker has access to the network traffic with RDP sessions using weak encryption methods it's possible to bruteforce the encryption parameters and compromise privacy of the RDP session.,"RDP needs to be configured to use strong encryption methods or use SSL as the privacy and integrity provider. 
To configure RDP encryption methods 'Terminal Services Configuration' or 'Remote Desktop Session Host Configuration' snap-in can be launched in mmc.exe. 
In 'Terminal Services Configuration' or 'Remote Desktop Session Host Configuration' properties dialog box General tab for the Encryption Level 'High' should be selected.
 
On Windows XP the RDP configuration can be found under  Computer Configuration\Administrative Templates\Windows Components\Terminal Services and User Configuration\Administrative Templates\Windows Components\Terminal Services.  Under Encryption and Security item, double click on 'Set client connection encryption level' and enable the policy and select high for the 'Encryption level'. 
For more details on configuration on 2008 R2 systems see Configure Server Authentication and Encryption Levels (http://technet.microsoft.com/en-us/library/cc770833.aspx). 
For more detail on disabling RC4 see Microsoft Update for Disabling RC4 (https://technet.microsoft.com/library/security/2868725). 
For details on supporting TLS 1.1 and TLS1.2 for Remote Desktop Services see Update to add RDS support for TLS 1.1 and TLS 1.2 in Windows 7 or Windows Server 2008 R2 (https://support.microsoft.com/en-us/kb/3080079).",,,"RDP Supported Encryption methods:  RC4(40 bit),RC4(56 bit)",yes,,Windows
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90081,Default Windows Administrator Account Name Present,Vuln,2,,,,,CVE-1999-0585,,,"The scanner probed the LSA, Local Security Authority, for the administrator account's name. The target has the default/out-of-the-box name ""Administrator"" set.","Most attackers and malicious scripts assume an administrator account name of ""Administrator"" on Windows systems. If the target has not changed this name, it will simplify the task of the attacker, for example in bruteforcing the password for the account.","Change the administrator account's name to a non-default value.
 
Please note that if the scanner has been configured to use Windows Authentication and uses the local administrator account (as against a domain-admin account) to scan this target, the scanner will need to be reconfigured to use the new administrator account name instead.",,,Administrator,no,,Windows
