Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
10107,,,None,10.10.10.123,tcp,5985,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
remote web server.",n/a,,"The remote web server type is :

Microsoft-HTTPAPI/2.0"
10107,,,None,10.10.10.123,tcp,47001,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
remote web server.",n/a,,"The remote web server type is :

Microsoft-HTTPAPI/2.0"
10114,CVE-1999-0524,,None,10.10.10.123,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is 5 seconds.
"
10150,,,None,10.10.10.123,tcp,445,Windows NetBIOS / SMB Remote Host Information Disclosure,It was possible to obtain the network name of the remote host.,"The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.",n/a,,"The following 2 NetBIOS names have been gathered :

 QAILDC01         = Computer name
 NAYAXVEND        = Workgroup / Domain name
"
10287,,,None,10.10.10.123,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.12.11.73 to 10.10.10.123 : 
10.12.11.73
10.12.11.1
212.179.76.194
?
10.10.10.123

Hop Count: 4
"
10394,,,None,10.10.10.123,tcp,445,Microsoft Windows SMB Log In Possible,It was possible to log into the remote host.,"The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- NULL session
- Guest account
- Supplied credentials",n/a,"http://support.microsoft.com/kb/143474
http://support.microsoft.com/kb/246261","- NULL sessions are enabled on the remote host.
- The SMB tests will be done as nayaxvend.int\itservices/******
"
10395,,,None,10.10.10.123,tcp,445,Microsoft Windows SMB Shares Enumeration,It is possible to enumerate remote network shares.,"By connecting to the remote host, Nessus was able to enumerate the
network share names.",n/a,,"
Here are the SMB shares available on the remote host when logged in as itservices:

  - ADMIN$
  - backup
  - C$
  - IPC$
  - NETLOGON
  - SYSVOL
"
10396,CVE-1999-0519,,None,10.10.10.123,tcp,445,Microsoft Windows SMB Shares Access,It is possible to access a network share.,"The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.",,"
The following shares can be accessed as itservices :

- SYSVOL  - (readable,writable)
  + Content of this share :
..
nayaxvend.int

- ADMIN$  - (readable,writable)
  + Content of this share :
..
ADFS
ADWS
AppCompat
apppatch
AppReadiness
assembly
bfsvc.exe
Boot
bootstat.dat
Branding
CbsTemp
Cursors
dd_vcredistMSI0EAA.txt
dd_vcredistUI0EAA.txt
debug
DesktopTileResources
DfsrAdmin.exe
DfsrAdmin.exe.config
diagnostics
DigitalLocker
Downloaded Program Files
drivers
DtcInstall.log
ELAMBKUP
en-US
explorer.exe
Fonts
Globalization
Help
HelpPane.exe
hh.exe
IME
ImmersiveControlPanel
Inf
InputMethod
Installer
L2Schemas
LiveKernelReports
Logs
media
mib.bin
Microsoft.NET
ModemLogs
NTDS
Offline Web Pages
Panther
PFRO.log
PLA
PolicyDefinitions
PolicyDefinitions - Copy
Provisioning
PSEXESVC.exe
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServerStandard.xml
ServerWeb.xml
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
SoftwareDistribution
Speech
splwow64.exe
System
system.ini
System32
SystemResources
SYSVOL
SysWOW64
TAPI
Tasks
Temp
ToastData
tracing
vmgcoinstall.log
Vss
Web
win.ini
WindowsShell.Manifest
WindowsUpdate.log
winhlp32.exe
WinSxS

- backup  - (readable,writable)
  + Content of this share :
..
WindowsImageBackup

- C$  - (readable,writable)
  + Content of this share :
.rnd
backup
bootmgr
BOOTNXT
Documents and Settings
nayaxvendDeletedOrphanedUsers.csv
nayaxvendOrphanedUsers.csv
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Scripts
System Volume Information
test
Users
Windows

- NETLOGON  - (readable,writable)
  + Content of this share :
..

"
10396,CVE-1999-0520,,None,10.10.10.123,tcp,445,Microsoft Windows SMB Shares Access,It is possible to access a network share.,"The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.",,"
The following shares can be accessed as itservices :

- SYSVOL  - (readable,writable)
  + Content of this share :
..
nayaxvend.int

- ADMIN$  - (readable,writable)
  + Content of this share :
..
ADFS
ADWS
AppCompat
apppatch
AppReadiness
assembly
bfsvc.exe
Boot
bootstat.dat
Branding
CbsTemp
Cursors
dd_vcredistMSI0EAA.txt
dd_vcredistUI0EAA.txt
debug
DesktopTileResources
DfsrAdmin.exe
DfsrAdmin.exe.config
diagnostics
DigitalLocker
Downloaded Program Files
drivers
DtcInstall.log
ELAMBKUP
en-US
explorer.exe
Fonts
Globalization
Help
HelpPane.exe
hh.exe
IME
ImmersiveControlPanel
Inf
InputMethod
Installer
L2Schemas
LiveKernelReports
Logs
media
mib.bin
Microsoft.NET
ModemLogs
NTDS
Offline Web Pages
Panther
PFRO.log
PLA
PolicyDefinitions
PolicyDefinitions - Copy
Provisioning
PSEXESVC.exe
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServerStandard.xml
ServerWeb.xml
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
SoftwareDistribution
Speech
splwow64.exe
System
system.ini
System32
SystemResources
SYSVOL
SysWOW64
TAPI
Tasks
Temp
ToastData
tracing
vmgcoinstall.log
Vss
Web
win.ini
WindowsShell.Manifest
WindowsUpdate.log
winhlp32.exe
WinSxS

- backup  - (readable,writable)
  + Content of this share :
..
WindowsImageBackup

- C$  - (readable,writable)
  + Content of this share :
.rnd
backup
bootmgr
BOOTNXT
Documents and Settings
nayaxvendDeletedOrphanedUsers.csv
nayaxvendOrphanedUsers.csv
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Scripts
System Volume Information
test
Users
Windows

- NETLOGON  - (readable,writable)
  + Content of this share :
..

"
10398,CVE-2000-1200,,None,10.10.10.123,tcp,445,Microsoft Windows SMB LsaQueryInformationPolicy Function NULL Session Domain SID Enumeration,It was possible to obtain the domain SID.,"By emulating the call to LsaQueryInformationPolicy(), it was possible
to obtain the domain SID (Security Identifier).

The domain SID can then be used to get the list of users of the
domain.",n/a,,"The remote domain SID value is :
1-5-21-3852196445-1890925931-3115976469"
